Beat,Calls,Arrests,Stops,Total_Activities,Proportion_Calls,Proportion_Arrests,Proportion_Stops
99,419,157,16,592,0.7077702702702703,0.2652027027027027,0.02702702702702703
B1,7483,232,43,7758,0.9645527197731374,0.029904614591389534,0.00554266563547306
B2,6841,319,68,7228,0.9464582180409519,0.044133923630326505,0.009407858328721638
B3,5596,130,20,5746,0.9738948833971458,0.02262443438914027,0.003480682213713888
BS,3,0,NA,NA,NA,NA,NA
C1,4973,272,75,5320,0.9347744360902256,0.05112781954887218,0.014097744360902255
C2,3281,154,30,3465,0.9468975468975469,0.044444444444444446,0.008658008658008658
C3,4466,227,50,4743,0.9415981446341978,0.04786000421674046,0.010541851149061775
CMD,17,0,NA,NA,NA,NA,NA
COMM,304,0,NA,NA,NA,NA,NA
CS,1,0,NA,NA,NA,NA,NA
CTY,238,0,NA,NA,NA,NA,NA
D1,7615,383,86,8084,0.9419841662543296,0.04737753587333003,0.010638297872340425
D2,9235,375,85,9695,0.9525528623001547,0.038679731820526045,0.008767405879319236
D3,6983,285,55,7323,0.9535709408712276,0.038918476034412126,0.007510583094360235
DET,105,0,NA,NA,NA,NA,NA
DND,1,0,NA,NA,NA,NA,NA
DS,13,0,NA,NA,NA,NA,NA
E,12,0,NA,NA,NA,NA,NA
E1,8233,545,157,8935,0.9214325685506435,0.060996082820369335,0.01757134862898713
E2,7759,483,135,8377,0.9262265727587442,0.05765787274680673,0.016115554494449087
E3,7739,485,87,8311,0.9311755504752738,0.05835639513897244,0.01046805438575382
EP,13,0,NA,NA,NA,NA,NA
ES,1,0,NA,NA,NA,NA,NA
F1,6355,182,65,6602,0.9625870948197516,0.027567403817025143,0.009845501363223265
F2,6666,222,97,6985,0.9543307086614173,0.031782390837508945,0.01388690050107373
F3,6483,189,49,6721,0.9645886028864752,0.028120815354857907,0.007290581758666865
FS,37,0,NA,NA,NA,NA,NA
G1,4676,337,64,5077,0.921016348237148,0.06637778215481584,0.012605869608036242
G2,5956,411,100,6467,0.9209834544611103,0.06355342508118138,0.015463120457708366
G3,4534,292,66,4892,0.9268192968111202,0.059689288634505316,0.01349141455437449
GS,2,0,NA,NA,NA,NA,NA
H3,1,0,NA,NA,NA,NA,NA
HBR,4,0,NA,NA,NA,NA,NA
HS,942,0,NA,NA,NA,NA,NA
INV,31,0,NA,NA,NA,NA,NA
ITRU,1,0,NA,NA,NA,NA,NA
J1,4272,117,19,4408,0.969147005444646,0.026542649727767695,0.004310344827586207
J2,3748,123,19,3890,0.9634961439588688,0.031619537275064266,0.004884318766066838
J3,4071,113,21,4205,0.9681331747919144,0.026872770511296076,0.004994054696789536
JS,4,0,NA,NA,NA,NA,NA
K1,7851,2730,97,10678,0.7352500468252482,0.25566585502903166,0.009084098145720173
K2,7295,357,113,7765,0.9394719896973599,0.04597553122987766,0.014552479072762395
K3,18061,2010,429,20500,0.8810243902439024,0.09804878048780488,0.020926829268292684
KS,18,0,NA,NA,NA,NA,NA
L1,5595,222,22,5839,0.9582120226066108,0.03802020893988697,0.003767768453502312
L2,5987,229,36,6252,0.9576135636596289,0.03662827895073576,0.005758157389635317
L3,5461,176,35,5672,0.9627997179125529,0.031029619181946404,0.006170662905500705
LAPT,1,0,NA,NA,NA,NA,NA
LS,1,0,NA,NA,NA,NA,NA
M1,5666,240,35,5941,0.9537114963810807,0.040397239521966,0.005891264096953375
M2,5523,281,74,5878,0.9396053079278667,0.04780537597822389,0.012589316093909493
M3,11727,591,251,12569,0.9330097859813827,0.04702044713183229,0.019969766886784947
MS,18,0,NA,NA,NA,NA,NA
N,36,0,NA,NA,NA,NA,NA
N1,3706,130,22,3858,0.9606013478486263,0.033696215655780196,0.005702436495593572
N2,8603,439,102,9144,0.94083552055993,0.04800962379702537,0.01115485564304462
N3,8571,380,95,9046,0.9474906035816936,0.04200751713464515,0.010501879283661288
ND,4,0,NA,NA,NA,NA,NA
NP,20,0,NA,NA,NA,NA,NA
NS,3,0,NA,NA,NA,NA,NA
NV,1,0,NA,NA,NA,NA,NA
O1,6805,220,69,7094,0.9592613476177051,0.031012122920778123,0.009726529461516776
O2,5902,186,52,6140,0.96123778501628665,0.03029315960912052,0.008469055374592834
O3,3790,219,72,4081,0.9286939475618721,0.05366331781426121,0.017642734623866698
OS,11,0,NA,NA,NA,NA,NA
Q1,4285,138,57,4480,0.9564732142857143,0.03080357142857143,0.012723214285714286
Q2,5561,175,50,5786,0.9611130314552367,0.030245419979260283,0.008641548565502939
Q3,7947,408,103,8458,0.9395838259635848,0.048238354220856,0.012177819815559234
QS,6,0,NA,NA,NA,NA,NA
R1,6322,327,60,6709,0.9423162915486659,0.048740497838724105,0.008943210612609926
