objectid,beat,first_precinct,sector,Shape__Area,Shape__Length
1,99,,99,208773076.597748,280794.869336966
2,B1,N,B,38889172.6377869,30766.9749874239
3,B2,N,B,55144779.9060669,32647.1831999748
4,B3,N,B,59612333.4614258,36973.2844912143
5,C1,E,C,32552825.697052,37950.24076418
6,E3,E,E,7539736.83361816,11240.8466647376
7,C2,E,C,67279838.7130737,38021.8162439173
8,C3,E,C,43024847.3805847,33479.319228391
9,D1,W,D,13346079.4348755,16616.9692649975
10,D2,W,D,17393776.7363586,31740.3255774699
11,D3,W,D,33371557.9375,30746.6772970283
12,E1,E,E,8711363.91943359,14166.1214465347
13,E2,E,E,7817206.7484436,13371.4056271245
14,F1,SW,F,91675366.514801,61516.7117791096
15,F2,SW,F,32226554.8700104,25020.7632806951
16,H1,,H,994952972.747131,247957.336905555
17,H2,,H,13452226.7680664,16687.7633851084
18,F3,SW,F,62783141.3748322,45692.3652099508
19,G2,E,G,27577352.0004578,26788.9514227469
20,H3,,H,326503165.326645,196916.174999807
21,J1,N,J,59955985.480896,45549.1738858707
22,J2,N,J,75273782.9664001,43596.8059282221
23,N1,N,N,106585485.565094,48336.0220223037
24,N2,N,N,48199133.3321533,31293.4332392622
25,N3,N,N,37750168.6296387,26476.938801311
26,J3,N,J,51313003.3067322,30606.6930672312
27,K1,W,K,6026385.6260376,13044.1118375691
28,L1,N,L,62716071.6382751,34330.1267424739
29,O1,S,O,32140682.3804321,31569.6528164277
30,L2,N,L,54746213.8257751,31694.8885129631
31,L3,N,L,69362475.1411743,39778.0490074101
32,M1,W,M,6586553.01049805,12691.7063478252
33,M2,W,M,3679315.76177979,10441.2995433103
34,M3,W,M,2729132.97180176,8571.63423330406
35,Q1,W,Q,186018123.960327,60395.0983204269
36,O2,S,O,54173820.8576355,41927.3675955487
37,S1,S,S,59885216.822113,41643.418186342
38,O3,S,O,62107374.168396,52459.1107719376
39,Q2,W,Q,67709135.6761475,36852.7467553037
40,Q3,W,Q,25056689.9897766,23207.2958621974
41,S2,S,S,33390798.6061401,27937.6804445937
42,R1,S,R,70974256.4369507,47444.0076586974
43,R2,S,R,47142191.3116302,37970.7785626897
44,R3,S,R,89144594.8673401,54424.9159640201
45,U3,N,U,178876618.683167,61575.071339847
46,W1,SW,W,149277490.052551,68345.2560908762
47,S3,S,S,60560414.5196686,50181.2582410252
48,U1,N,U,46816268.1698608,34809.6937315058
49,U2,N,U,25898491.6094666,21553.1878839355
50,W2,SW,W,83587015.5951385,44355.1158495932
51,W3,SW,W,127457935.060699,59415.8902682375
52,K2,W,K,19704892.0428467,24228.6509721139
53,K3,W,K,8774696.97344971,14163.5546283286
54,G1,E,G,6392510.69934082,11153.7482954217
55,G3,E,G,24333954.5796204,24715.4649117668
