"","Beat","calls_scale","arrests_scale","stops_scale"
"1","99",-0.830426651958625,-0.0905290026678628,-0.891554967972555
"2","B1",1.07241075949912,0.117230774748131,-0.475140072751841
"3","B2",0.899474516838319,0.358232116550685,-0.0895707253252533
"4","B3",0.564107504201727,-0.165322522537621,-0.829863872384301
"5","BS",-0.94248502726531,-0.525439470058678,NA
"6","C1",0.396289312336187,0.228035989369995,0.0183886919541911
"7","C2",-0.0594865795361938,-0.0988393937645026,-0.675636133413666
"8","C3",0.259718167431165,0.103380122920399,-0.367180655472396
"9","CMD",-0.938713831942489,-0.525439470058678,NA
"10","COMM",-0.861404327824656,-0.525439470058678,NA
"11","CS",-0.943023769454285,-0.525439470058678,NA
"12","CTY",-0.879182820060813,-0.525439470058678,NA
"13","D1",1.10796774397143,0.535520459945667,0.18803920482189
"14","D2",1.54434891704073,0.513359417021294,0.172616430924826
"15","D3",0.937725212255505,0.264047684122101,-0.290066785987079
"16","DET",-0.915009175627613,-0.525439470058678,NA
"17","DND",-0.943023769454285,-0.525439470058678,NA
"18","DS",-0.939791316320438,-0.525439470058678,NA
"19","E",-0.940060687414925,-0.525439470058678,NA
"20","E1",1.27443908036453,0.984281579164214,1.2830561515134
"21","E2",1.14675718157759,0.812533496500326,0.943755125778001
"22","E3",1.14136975968785,0.818073757231419,0.203461978718953
"23","EP",-0.939791316320438,-0.525439470058678,NA
"24","ES",-0.943023769454285,-0.525439470058678,NA
"25","F1",0.768560164917529,-0.0212757435291981,-0.135839047016444
"26","F2",0.852334575303055,0.0895294710926656,0.357689717689588
"27","F3",0.803039665011894,-0.00188483097037192,-0.38260342936946
"28","FS",-0.933326410052745,-0.525439470058678,NA
"29","G1",0.316286097273482,0.408094463130523,-0.151261820913507
"30","G2",0.661081098217127,0.613084110180971,0.403958039380778
"31","G3",0.278035401856296,0.283438596680927,-0.12041627311938
"32","GS",-0.942754398359797,-0.525439470058678,NA
"33","H3",-0.943023769454285,-0.525439470058678,NA
"34","HBR",-0.942215656170823,-0.525439470058678,NA
"35","HS",-0.689545569541808,-0.525439470058678,NA
"36","INV",-0.934942636619668,-0.525439470058678,NA
"37","ITRU",-0.943023769454285,-0.525439470058678,NA
"38","J1",0.207460175100644,-0.201334217289726,-0.845286646281364
"39","J2",0.0663097215893392,-0.184713435096447,-0.845286646281364
"40","J3",0.153316585108712,-0.212414738751913,-0.814441098487237
"41","JS",-0.942215656170823,-0.525439470058678,NA
"42","K1",1.17153932227041,7.03701642788351,0.357689717689588
"43","K2",1.02176899373552,0.463497070441455,0.604454100042604
"44","K3",3.92181819698496,5.04252256468997,5.47805065151467
"45","KS",-0.938444460848002,-0.525439470058678,NA
"46","L1",0.56383813310724,0.0895294710926656,-0.799018324590174
"47","L2",0.669431602146231,0.108920383651492,-0.583099490031285
"48","L3",0.527742406445952,-0.0378965257224776,-0.598522263928349
"49","LAPT",-0.943023769454285,-0.525439470058678,NA
"50","LS",-0.943023769454285,-0.525439470058678,NA
"51","M1",0.582963480815833,0.139391817672504,-0.598522263928349
"52","M2",0.54444341430416,0.252967162659914,0.00296591805712761
"53","M3",2.21562168450289,1.11170757597936,2.73279689783737
"54","MS",-0.938444460848002,-0.525439470058678,NA
"55","N",-0.933595781147232,-0.525439470058678,NA
"56","N1",0.0549961356208759,-0.165322522537621,-0.799018324590174
"57","N2",1.37410638532481,0.690647760416276,0.434803587174905
"58","N3",1.36548651030121,0.527210068849027,0.326844169895461
"59","ND",-0.942215656170823,-0.525439470058678,NA
"60","NP",-0.937905718659027,-0.525439470058678,NA
"61","NS",-0.94248502726531,-0.525439470058678,NA
"62","NV",-0.943023769454285,-0.525439470058678,NA
"63","O1",0.889777157436779,0.0839892103615724,-0.0741479514281898
"64","O2",0.646535059114817,-0.0101952220670117,-0.336335107678269
"65","O3",0.0776233075578026,0.0812190799960258,-0.0278796297369994
"66","OS",-0.940330058509412,-0.525439470058678,NA
"67","Q1",0.210961999328978,-0.143161479613248,-0.259221238192952
"68","Q2",0.554679515894674,-0.0406666560880242,-0.367180655472396
"69","Q3",1.19739894734119,0.604773719084331,0.450226361071969
"70","QS",-0.941676913981848,-0.525439470058678,NA
"71","R1",0.759670918799451,0.380393159475058,-0.212952916501761
"72","R2",1.6146547727019,1.18373096548357,0.912909577983874
"73","R3",0.837249794011771,0.114460644382585,-0.320912333781206
"74","RS",-0.939521945225951,-0.525439470058678,NA
"75","S",-0.926592132690564,-0.525439470058678,NA
"76","S1",0.644649461453407,0.178173642790156,-0.42887175106065
"77","S2",0.509155800926334,0.106150253285945,-0.274644012090015
"78","S3",0.555218258083649,0.0396671245128269,-0.459717298854777
"79","SP",-0.93575074990313,-0.525439470058678,NA
"80","SPVD",-0.942215656170823,-0.525439470058678,NA
"81","SPVDD",-0.925245277218128,-0.525439470058678,NA
"82","SS",-0.938713831942489,-0.525439470058678,NA
"83","SWT",-0.942754398359797,-0.525439470058678,NA
"84","TAC3",-0.943023769454285,-0.525439470058678,NA
"85","TQ",-0.942754398359797,-0.525439470058678,NA
"86","TRF",-0.943023769454285,-0.525439470058678,NA
"87","TRU",-0.943023769454285,-0.525439470058678,NA
"88","U1",1.38838305333263,0.444106157882629,-0.259221238192952
"89","U2",1.05193855631809,0.366542507647325,-0.0587251775311264
"90","U3",0.917522380168963,0.011965820857361,-0.567676716134222
"91","W",-0.928477730351975,-0.525439470058678,NA
"92","W1",1.26554983424646,0.00365542976072126,-0.367180655472396
"93","W2",0.944728860712173,0.0147359512229076,-0.0433024036340629
"94","W3",0.212308854801414,-0.187483565461993,-0.521408394443031
"95","WD",-0.942754398359797,-0.525439470058678,NA
"96","WP",-0.920935339706332,-0.525439470058678,NA
"97","WS",-0.937366976470053,-0.525439470058678,NA
