"","GEOID","NAME","variable","value","race"
"1","53033029405","Census Tract 294.05, King County, Washington","P1_003N",2631,"White"
"2","53033029406","Census Tract 294.06, King County, Washington","P1_003N",2242,"White"
"3","53033029407","Census Tract 294.07, King County, Washington","P1_003N",1832,"White"
"4","53033029408","Census Tract 294.08, King County, Washington","P1_003N",1458,"White"
"5","53033029504","Census Tract 295.04, King County, Washington","P1_003N",2282,"White"
"6","53033029505","Census Tract 295.05, King County, Washington","P1_003N",1269,"White"
"7","53033029506","Census Tract 295.06, King County, Washington","P1_003N",1480,"White"
"8","53033029507","Census Tract 295.07, King County, Washington","P1_003N",1746,"White"
"9","53033029508","Census Tract 295.08, King County, Washington","P1_003N",1728,"White"
"10","53033029602","Census Tract 296.02, King County, Washington","P1_003N",3820,"White"
"11","53033029603","Census Tract 296.03, King County, Washington","P1_003N",1238,"White"
"12","53033029604","Census Tract 296.04, King County, Washington","P1_003N",1750,"White"
"13","53033029701","Census Tract 297.01, King County, Washington","P1_003N",2552,"White"
"14","53033029702","Census Tract 297.02, King County, Washington","P1_003N",1502,"White"
"15","53033029803","Census Tract 298.03, King County, Washington","P1_003N",1824,"White"
"16","53033029804","Census Tract 298.04, King County, Washington","P1_003N",2100,"White"
"17","53033029805","Census Tract 298.05, King County, Washington","P1_003N",2651,"White"
"18","53033029806","Census Tract 298.06, King County, Washington","P1_003N",2163,"White"
"19","53033029901","Census Tract 299.01, King County, Washington","P1_003N",2839,"White"
"20","53033029902","Census Tract 299.02, King County, Washington","P1_003N",3158,"White"
"21","53033030003","Census Tract 300.03, King County, Washington","P1_003N",3042,"White"
"22","53033030005","Census Tract 300.05, King County, Washington","P1_003N",2021,"White"
"23","53033030006","Census Tract 300.06, King County, Washington","P1_003N",1384,"White"
"24","53033030007","Census Tract 300.07, King County, Washington","P1_003N",855,"White"
"25","53033030008","Census Tract 300.08, King County, Washington","P1_003N",1442,"White"
"26","53033030101","Census Tract 301.01, King County, Washington","P1_003N",2163,"White"
"27","53033030102","Census Tract 301.02, King County, Washington","P1_003N",2391,"White"
"28","53033030201","Census Tract 302.01, King County, Washington","P1_003N",2441,"White"
"29","53033030203","Census Tract 302.03, King County, Washington","P1_003N",1257,"White"
"30","53033030204","Census Tract 302.04, King County, Washington","P1_003N",1739,"White"
"31","53033030304","Census Tract 303.04, King County, Washington","P1_003N",2076,"White"
"32","53033030305","Census Tract 303.05, King County, Washington","P1_003N",3019,"White"
"33","53033030306","Census Tract 303.06, King County, Washington","P1_003N",3135,"White"
"34","53033030308","Census Tract 303.08, King County, Washington","P1_003N",2488,"White"
"35","53033030309","Census Tract 303.09, King County, Washington","P1_003N",2252,"White"
"36","53033030310","Census Tract 303.10, King County, Washington","P1_003N",2593,"White"
"37","53033030311","Census Tract 303.11, King County, Washington","P1_003N",2285,"White"
"38","53033030312","Census Tract 303.12, King County, Washington","P1_003N",2267,"White"
"39","53033030313","Census Tract 303.13, King County, Washington","P1_003N",1702,"White"
"40","53033030314","Census Tract 303.14, King County, Washington","P1_003N",1996,"White"
"41","53033030403","Census Tract 304.03, King County, Washington","P1_003N",2913,"White"
"42","53033030404","Census Tract 304.04, King County, Washington","P1_003N",3334,"White"
"43","53033030405","Census Tract 304.05, King County, Washington","P1_003N",2313,"White"
"44","53033030406","Census Tract 304.06, King County, Washington","P1_003N",1756,"White"
"45","53033030407","Census Tract 304.07, King County, Washington","P1_003N",1104,"White"
"46","53033030501","Census Tract 305.01, King County, Washington","P1_003N",1739,"White"
"47","53033030503","Census Tract 305.03, King County, Washington","P1_003N",2946,"White"
"48","53033030504","Census Tract 305.04, King County, Washington","P1_003N",2811,"White"
"49","53033030600","Census Tract 306, King County, Washington","P1_003N",3446,"White"
"50","53033030700","Census Tract 307, King County, Washington","P1_003N",2147,"White"
"51","53033030801","Census Tract 308.01, King County, Washington","P1_003N",2681,"White"
"52","53033030802","Census Tract 308.02, King County, Washington","P1_003N",2071,"White"
"53","53033030901","Census Tract 309.01, King County, Washington","P1_003N",2199,"White"
"54","53033030902","Census Tract 309.02, King County, Washington","P1_003N",3205,"White"
"55","53033031000","Census Tract 310, King County, Washington","P1_003N",2961,"White"
"56","53033031101","Census Tract 311.01, King County, Washington","P1_003N",1717,"White"
"57","53033031102","Census Tract 311.02, King County, Washington","P1_003N",1783,"White"
"58","53033031202","Census Tract 312.02, King County, Washington","P1_003N",4291,"White"
"59","53033031204","Census Tract 312.04, King County, Washington","P1_003N",4937,"White"
"60","53033031206","Census Tract 312.06, King County, Washington","P1_003N",2798,"White"
"61","53033031207","Census Tract 312.07, King County, Washington","P1_003N",2251,"White"
"62","53033031208","Census Tract 312.08, King County, Washington","P1_003N",2386,"White"
"63","53033031301","Census Tract 313.01, King County, Washington","P1_003N",1998,"White"
"64","53033031302","Census Tract 313.02, King County, Washington","P1_003N",3909,"White"
"65","53033031400","Census Tract 314, King County, Washington","P1_003N",4947,"White"
"66","53033031501","Census Tract 315.01, King County, Washington","P1_003N",3467,"White"
"67","53033031502","Census Tract 315.02, King County, Washington","P1_003N",4222,"White"
"68","53033031601","Census Tract 316.01, King County, Washington","P1_003N",4081,"White"
"69","53033031603","Census Tract 316.03, King County, Washington","P1_003N",5135,"White"
"70","53033031604","Census Tract 316.04, King County, Washington","P1_003N",4219,"White"
"71","53033031605","Census Tract 316.05, King County, Washington","P1_003N",3079,"White"
"72","53033031704","Census Tract 317.04, King County, Washington","P1_003N",3126,"White"
"73","53033031705","Census Tract 317.05, King County, Washington","P1_003N",2689,"White"
"74","53033031707","Census Tract 317.07, King County, Washington","P1_003N",2213,"White"
"75","53033031708","Census Tract 317.08, King County, Washington","P1_003N",2489,"White"
"76","53033031709","Census Tract 317.09, King County, Washington","P1_003N",2232,"White"
"77","53033031710","Census Tract 317.10, King County, Washington","P1_003N",2522,"White"
"78","53033031800","Census Tract 318, King County, Washington","P1_003N",3226,"White"
"79","53033031904","Census Tract 319.04, King County, Washington","P1_003N",2729,"White"
"80","53033031906","Census Tract 319.06, King County, Washington","P1_003N",2540,"White"
"81","53033031908","Census Tract 319.08, King County, Washington","P1_003N",2393,"White"
"82","53033031909","Census Tract 319.09, King County, Washington","P1_003N",1717,"White"
"83","53033031910","Census Tract 319.10, King County, Washington","P1_003N",2134,"White"
"84","53033031911","Census Tract 319.11, King County, Washington","P1_003N",2169,"White"
"85","53033031912","Census Tract 319.12, King County, Washington","P1_003N",2657,"White"
"86","53033031913","Census Tract 319.13, King County, Washington","P1_003N",2207,"White"
"87","53033032002","Census Tract 320.02, King County, Washington","P1_003N",2556,"White"
"88","53033032003","Census Tract 320.03, King County, Washington","P1_003N",4254,"White"
"89","53033032005","Census Tract 320.05, King County, Washington","P1_003N",4570,"White"
"90","53033032006","Census Tract 320.06, King County, Washington","P1_003N",4023,"White"
"91","53033032007","Census Tract 320.07, King County, Washington","P1_003N",3172,"White"
"92","53033032008","Census Tract 320.08, King County, Washington","P1_003N",3448,"White"
"93","53033032010","Census Tract 320.10, King County, Washington","P1_003N",4800,"White"
"94","53033032011","Census Tract 320.11, King County, Washington","P1_003N",3832,"White"
"95","53033032102","Census Tract 321.02, King County, Washington","P1_003N",4044,"White"
"96","53033032103","Census Tract 321.03, King County, Washington","P1_003N",4389,"White"
"97","53033032104","Census Tract 321.04, King County, Washington","P1_003N",4709,"White"
"98","53033032207","Census Tract 322.07, King County, Washington","P1_003N",2425,"White"
"99","53033032211","Census Tract 322.11, King County, Washington","P1_003N",2685,"White"
"100","53033032213","Census Tract 322.13, King County, Washington","P1_003N",2849,"White"
"101","53033032215","Census Tract 322.15, King County, Washington","P1_003N",2751,"White"
"102","53033032216","Census Tract 322.16, King County, Washington","P1_003N",2167,"White"
"103","53033032217","Census Tract 322.17, King County, Washington","P1_003N",2692,"White"
"104","53033032218","Census Tract 322.18, King County, Washington","P1_003N",3397,"White"
"105","53033032219","Census Tract 322.19, King County, Washington","P1_003N",2483,"White"
"106","53033032220","Census Tract 322.20, King County, Washington","P1_003N",4302,"White"
