"","X1","X2","X3","X4","X5","variable"
"cfs_ui.2018",195.645,487.845,761.504,1121.03,1752.662,"cfs_ui.2018"
"cfs_serious.2018",21.16,66.387,123.06,207.682,388.804,"cfs_serious.2018"
"cfs_nonser.2018",174.485,421.458,638.444,913.348,1363.858,"cfs_nonser.2018"
"crime_p1v.2018",10.411,30.646,56.07,87.995,172.189,"crime_p1v.2018"
"crime_p1p.2018",29.29,64.845,88.275,119.741,183.412,"crime_p1p.2018"
"crime_p2.2018",15.078,34.97,49.634,66.915,96.412,"crime_p2.2018"
"s_numveh.2018",93.965,243.642,388.887,625.06,1373.223,"s_numveh.2018"
"s_numped.2018",20.771,78.229,133.567,221.886,579.642,"s_numped.2018"
"juv_pop_pct.2018",0.17,0.191,0.207,0.229,0.209,"juv_pop_pct.2018"
"arr_total.2018",14.879,43.904,67.405,110.871,306.27,"arr_total.2018"
"total_pop.2018",1612.197,3050.513,4030.815,4631.178,4562.875,"total_pop.2018"
